"1","Arjun","IT","60000","Hyderabad","2023-01-15"
"2","Ravi","HR","45000","Bangalore","2022-06-20"
"3","Neha","Finance","70000","Mumbai","2021-09-10"
"4","Sneha","IT","80000","Hyderabad","2020-03-25"
"5","Amit","Finance","55000","Delhi","2023-07-01"
"6","Pooja","HR","40000","Bangalore","2022-11-11"
"7","Kiran","IT","90000","Chennai","2021-05-30"
"8","Anjali","Marketing","50000","Mumbai","2023-02-18"
"9","Rohit","IT","65000","Hyderabad","2022-08-09"
"10","Divya","Marketing","48000","Delhi","2023-03-22"
